,userid,age,gender,ope,con,ext,agr,neu
45,36d598ce6ba72436b6757d7ef42b3ac6,18.0,1.0,4.85,2.3,1.35,3.85,3.75
46,0d2e90f5b51a1df747c7778c445c2948,25.0,0.0,4.55,2.6,3.1,3.1,2.6
47,4a3858e4eb0afb613e3461eace2a6ef4,22.0,0.0,4.6,3.15,3.85,3.85,2.6
48,b04902d6f1033f5f5e4cbafe91ff8e47,21.0,0.0,4.1,3.5,3.75,4.05,2.1
49,4bf56b5a1afd3d9c6e9bb92f1e0657e2,30.0,1.0,4.7,4.4,2.55,2.3,3.1
50,67108ce32009962caa2c62b4530c0dbb,20.0,1.0,3.9,2.2,3.7,2.7,3.25
51,a7dfb41ae80e79011f0d41b3fff2df71,51.0,1.0,3.8,4.45,4.35,4.05,1.85
52,5f25fed9db820d1ec52ee718d8bdd8c4,32.0,1.0,3.75,3.4,3.55,3.7,2.85
53,4d7ae0617845c6b30eb85b55a991f4c5,21.0,0.0,4.65,4.15,2.25,4.6,3.05
54,7aa14dae8febdbfba9b19d1b9d99a75b,22.0,0.0,3.9,2.85,2.5,3.65,2.85
55,0bf7a39c54b370bdb0ffb1d6b8e4616b,22.0,0.0,4.0,3.7,1.6,2.95,3.6
56,841d69b3c288da271934a911ecca1620,22.0,0.0,4.45,4.95,4.75,2.75,3.1
57,51cafdc9e815f3899c569550c098dfdf,23.0,0.0,3.95,2.3,3.0,4.25,1.75
58,11c7822506a7372acbd8084095669ea3,20.0,1.0,4.1,2.9,2.9,3.65,3.2
59,9c1b245f2a71a43918d0208dc1a7a5a2,22.0,0.0,4.85,2.85,2.6,4.55,2.35
60,e7a63c0cad14ba705cdf07177efbfb1a,23.0,1.0,4.4,2.75,3.45,3.65,3.3
61,f9911d80ab895e8b475b71b0d24c3614,20.0,1.0,4.3,2.7,2.0,3.3,2.75
62,088bf0ed841bcc366475b3975eb1b9d2,22.0,0.0,4.5,2.1,1.9,2.6,4.65
63,c62c6b1f74234a2ebd87bebbc47ef47a,24.0,0.0,4.75,3.25,4.65,2.55,2.6
64,a55252061e5beb3972ce35f924d5dae9,20.0,0.0,4.0,2.15,2.55,4.0,1.15
65,d6686399b36d92b1c2c76427035b9285,17.0,1.0,4.06,3.2,2.8,3.25,2.95
66,4d035bd3fd8d9595d15cea9e388964be,26.0,0.0,4.05,3.35,3.7,3.4,2.9
67,0758b00dd690c459a1208094d2e1afd1,40.0,1.0,4.65,3.4,4.5,5.0,2.25
68,521896b01c1a506dc4404e600fa99c5b,24.0,1.0,4.84,1.95,3.7,3.65,3.7
69,819cf573b65071d861f7ae1a4644ecc3,30.0,0.0,4.45,2.9,2.25,3.25,2.15
70,7bb9346a8742de88bf2f48d622bf1057,22.0,0.0,3.65,2.0,1.55,3.4,4.1
71,3b474abc02985674f2b64e46a939bb3d,20.0,0.0,4.8,3.6,3.6,4.2,1.95
72,a79d99cb1fe61ceea2737bb7fa6f9c53,29.0,0.0,4.75,2.7,1.85,3.7,2.3
73,216924ec52555944d3d64c52390b359f,18.0,0.0,4.3,4.15,5.0,3.95,1.85
74,9fb708db0ac17768655509246a1fa541,21.0,1.0,3.65,3.3,2.8,3.3,3.75
75,f83aa7290cf3ae8ed75d6aee5ebbb559,22.0,0.0,3.15,3.0,2.65,3.95,1.7
76,d73aceff5fb0bbadd36fd153d9e0e122,55.0,1.0,3.9,4.2,4.75,4.25,2.9
77,f1b9957ad9d63642c7b04fb8a30aaf9a,43.0,0.0,4.95,4.0,2.95,4.8,2.4
78,8fdc0b197600d711b2c01a5caf417c9e,25.0,0.0,4.15,2.65,1.95,2.7,3.8
79,64f5281f467be06de0da5064a832ade7,46.0,0.0,3.25,3.25,2.8,3.85,2.5
80,57c2d8496ceb8e92022bcac20cca27e1,22.0,1.0,4.8,4.15,3.55,4.45,1.4
81,39b2af957c2488970cb89c161b6bf94e,21.0,1.0,4.4,3.55,2.85,3.35,3.75
82,b86eb14612969b2df48c2863c32c2899,50.0,0.0,4.4,3.95,3.85,4.2,1.4
83,17007ac695b9656e92b0975a92d5cd0d,53.0,1.0,4.55,2.85,4.65,4.35,2.95
84,23446b876041e8e15f976d7aa70cea13,28.0,1.0,4.2,2.8,2.7,2.75,3.9
85,1f59fcff7252f45b98d17e454ae3a62c,22.0,1.0,4.7,2.75,4.65,4.0,4.6
86,757416aa07634031fbcb433ea9563cc4,18.0,0.0,3.85,3.2,3.6,3.35,2.9
87,502b0c56815fb1631f23cc4f85f4f631,23.0,1.0,3.85,3.1,4.2,2.55,3.05
88,0f3058c41d564634c18cb19d89e93c77,20.0,0.0,4.2,2.15,2.9,2.35,4.2
89,29cda473b52e1c75fbfe958ed3aec565,28.0,1.0,3.3,3.85,2.7,3.5,3.45
90,8364eb7ffc6fd539336436ead20aa0ff,24.0,0.0,3.4,4.6,3.05,3.95,1.9
91,124b0f90c73f98fa14f25311e6e7c863,17.0,1.0,4.35,3.5,3.75,3.9,2.2
92,c525ab834d0f737c4b5e65fd6ac2c510,23.0,0.0,4.5,3.7,2.9,3.95,2.0
93,b05f34be807a91ce0325cda601bc5856,20.0,0.0,3.95,3.0,2.9,2.8,3.35
94,dc6d8b143f80e5af5c327baea9613ec6,19.0,1.0,3.95,3.2,2.35,2.9,3.75
95,d453b26dfd348fdb99e909df7d8bec39,28.0,0.0,3.61,3.3,4.35,4.2,2.5
96,0792e5aaa86d2556677e00c543fb9056,34.0,0.0,3.1,3.35,2.05,3.4,3.75
97,85a78b7179d46b27e3f4f3a1468e2a1c,21.0,0.0,4.7,3.05,3.65,4.25,2.0
98,504862f12f8c000ae4358a10d657e8f5,25.0,0.0,4.7,4.6,3.9,4.2,1.7
99,e30e7395176e0687d7f1560ed8579429,22.0,1.0,4.15,4.8,3.9,3.35,2.75
100,2dca898dfbdae6716a587adbfd99c542,20.0,1.0,4.25,4.1,4.75,3.85,2.05
101,035df056081ff29c73eb36e6b8a47717,20.0,0.0,4.5,1.5,3.05,3.5,2.3
102,640502dea6e1d1449ab0ddc6f5cb0319,21.0,1.0,4.0,3.6,1.55,3.75,3.6
103,ca4591994c00795feecfdf8c5d96d6c9,20.0,1.0,4.5,2.45,1.9,2.3,4.35
104,20a9822f8f8826b0e1c91e8277d281b3,34.0,1.0,3.55,2.55,4.4,4.35,2.4
105,2d14a09b41a0d12b9e60377a0a8e14a8,29.0,1.0,3.85,2.1,1.75,3.6,3.6
106,e2ed5508a2c38bf09bf2f2ad52b500f1,17.0,0.0,4.65,3.8,3.1,3.2,2.55
107,6bfd37c25ce5f065b34924d28c088e91,21.0,0.0,4.0,3.55,2.2,4.45,3.3
108,994e0be0ec912bc380fbcaf8ed105401,21.0,1.0,4.25,2.35,3.35,3.7,3.05
109,57118d9a71e91b6568471ffbd7077415,21.0,1.0,4.8,3.2,4.25,3.45,2.55
110,47f5a07710791c42be7e23e5b99f5ef6,19.0,1.0,4.65,2.8,3.25,3.0,4.0
111,9f33b979db7d16b81c5e1b36e8d05bff,18.0,0.0,3.9,2.15,2.2,3.85,3.2
112,022e61eafebe3d5cb81993105337a05f,23.0,1.0,4.65,3.55,3.75,4.2,1.6
113,ae42db9dd55791bc806b8dbf6abda9ad,19.0,0.0,3.65,3.2,1.5,2.9,3.35
114,7cb94d94ea2a799dc57453bb04ee24a7,35.0,0.0,4.85,3.85,4.0,3.7,2.4
115,e4d49daa6535f3cdfeb9ba65af7c075d,18.0,1.0,3.9,3.25,3.0,3.85,3.8
116,8ad7706f2df193307e65e1ca899f9ea7,31.0,0.0,5.0,4.55,3.3,4.05,3.3
117,f9872fab81a4801df493a482e4ed2a1b,20.0,0.0,3.8,3.0,2.75,3.7,2.35
118,6c084f3a7303707805b53152ad0aa3fd,20.0,0.0,3.8,3.1,3.95,3.9,2.7
119,8ff6192bbbb717c36097b33e244d91de,19.0,0.0,3.75,3.55,2.05,3.7,3.25
120,692758eda219c4fdb6aa64e929be3ff0,19.0,1.0,4.4,2.5,2.55,3.9,2.85
121,d933c64801e662abd9418dffc49c2c8a,45.0,1.0,4.1,2.45,3.15,2.9,3.9
122,2bf7d59d5c75aa58585703affee15953,23.0,0.0,3.26,3.35,2.25,3.1,3.4
123,5c31d7d80e78643cd5289acec0561d77,19.0,1.0,4.0,2.55,2.7,3.85,3.7
124,415395889f8b129403ff5e02cb7eaeb9,23.0,1.0,3.4,3.4,3.0,4.6,2.25
125,73e18d1a8c1265c7d1fd18eebfcb96bd,20.0,0.0,4.0,2.8,3.6,4.35,4.5
126,d47612ef5fd88678436066f519e3b76b,47.0,0.0,4.1,3.8,2.25,4.2,3.6
127,5518b214e29906bc715f9f035054390c,19.0,0.0,4.8,3.7,4.9,4.2,1.4
128,ab46b30d5f936aa0c0749b9fc45db42f,19.0,1.0,4.8,2.75,2.55,3.35,3.05
129,c96d677d96d216ef5e78911b35e9bbfe,18.0,1.0,4.55,3.05,3.9,4.15,2.6
130,3e61391d06340a430182ec676ed47eaf,31.0,0.0,3.75,3.65,3.85,2.4,3.4
131,9d73ecd9cf815d8bc340cd1bb8e94cfb,22.0,1.0,4.5,2.55,1.35,2.55,4.75
132,748b929276449add1cb3bb5985e85fa1,18.0,0.0,4.5,3.75,4.55,4.7,1.2
133,833c2cd67df5ae951dba86208147454f,33.0,0.0,4.45,2.85,3.55,2.9,1.85
134,a53553e542184b217b96bfe7771698ae,18.0,1.0,4.65,4.25,2.65,3.3,3.9
135,c09f6695e155f4eda37e853b52e34de7,26.0,0.0,3.9,3.55,2.2,4.55,1.75
136,4f48c6c8051e144c717ce143e8d77782,28.0,1.0,3.85,2.8,2.15,3.8,3.1
137,c60b40a9eefef51c7f7b27a4880fffde,30.0,0.0,4.65,3.85,2.35,3.85,2.6
138,770b44cbe67c3e68372f529acd82a3ab,20.0,1.0,3.45,2.9,1.6,3.0,3.05
139,2d40e5d4e7f533c85f66535435419d83,20.0,0.0,4.35,3.9,3.4,4.15,2.1
140,8dc7be1084a638272bfea6110b51d1df,22.0,0.0,4.75,3.2,4.85,3.95,1.1
141,3298ebceb8a077f339042ea08984c9fc,22.0,1.0,2.95,3.05,2.45,3.45,3.3
142,45dfbcb92c0f66946d3c5d6e37008306,17.0,0.0,4.5,2.75,2.63,4.05,2.5
143,3ab0bae1cbfdb0c3493e3993461e16d8,21.0,0.0,3.95,3.15,3.16,3.7,2.17
144,f9db4708a1fbc9f73cccb87f61e16e91,22.0,1.0,4.15,4.0,3.85,3.65,3.05
145,138ac63ec2b55b8f48fd19c300720cae,57.0,0.0,3.95,2.5,1.95,3.05,3.45
146,b23f7c9a375bb3088660e95836a97258,25.0,0.0,4.1,3.85,2.7,2.6,3.45
147,cbd2eff4d39eb4e36e1831b5203e0fdc,17.0,0.0,3.3,3.5,2.3,4.25,2.75
148,e3d00c46d53444b88d53071d0738a01b,18.0,1.0,4.55,3.1,1.6,3.9,2.8
149,3be3b23b17bda33bee55d82bdafab6a3,25.0,0.0,3.95,4.05,2.95,4.1,2.1
150,f358b75c71d85c91ec0452c6114e3b15,17.0,0.0,3.75,3.75,2.7,4.45,2.9
151,61f6b1ca822b5fbafc79fb3f535482fb,18.0,0.0,4.35,4.05,3.85,3.4,3.15
152,6c651f6e7d9104dac0ab60549f89fbb7,20.0,0.0,4.1,3.0,2.4,4.1,3.05
153,4fe7be93853af48034fb053a0d0a7747,17.0,0.0,3.2,3.0,2.2,2.45,3.85
154,fdbeb92579798623ea97f3b85e5e6044,19.0,0.0,3.25,2.15,2.2,3.25,3.2
155,0cd94bb8c729d582b7f698cd1e55cd7f,17.0,1.0,4.65,3.5,4.0,4.0,1.9
156,8aaf44a327e711b4bb3041e6c81b79ca,29.0,0.0,4.42,3.85,2.8,2.8,3.15
157,6cfb7bd0f6704a58accdf47ca8636ab3,18.0,1.0,4.65,2.75,2.2,2.7,4.15
158,6213757c75ef5291a4f42c113db8c29f,24.0,1.0,3.8,3.9,2.7,4.25,2.75
159,914c0fc8a3e61ab17165c6af138dbf1e,19.0,1.0,4.25,2.85,3.65,4.0,2.5
160,94e74338be6a3b01c918bb2e90fc5d25,23.0,0.0,4.05,3.15,2.95,4.65,2.4
161,cf4ca540d958500e96b514eb6446eb81,22.0,0.0,4.0,3.85,3.65,3.9,1.7
162,d9111e2dabeac5ee83407625e8a0ea05,23.0,0.0,4.65,2.7,4.4,3.35,3.05
163,f3737ede298bba91fecf226c90730353,17.0,0.0,3.6,3.3,2.75,3.05,2.8
164,7dea40367b1b7086b0152b762b6de70e,21.0,0.0,4.25,2.9,3.25,3.2,2.45
165,23e6a51da6eff0270928f98355e19cf3,23.0,0.0,3.8,3.4,1.95,3.95,1.75
166,ef159af2da33db6d21fd3b78ff82f68d,21.0,0.0,4.35,2.65,3.45,2.95,3.75
167,d2fd0e6603da3520e02315e11b009fbf,20.0,1.0,3.35,2.65,1.85,4.4,3.3
168,d38a81dfbfbbd5f2a2a0a03e9db304c6,22.0,1.0,3.45,3.4,1.85,3.45,3.55
169,e06ed3242757ec42e2bd665b76976ae1,19.0,1.0,4.3,3.75,2.55,4.0,2.15
170,c7eadd01a0ad4f70857239f8e6750ca9,18.0,1.0,4.7,3.9,2.75,4.25,3.25
171,d47435889065c9fe13a9ac3ff33b5621,37.0,1.0,4.2,4.8,1.6,3.6,2.65
172,74dbe25adb304907217314e9e1a61037,19.0,0.0,3.8,3.4,3.25,3.25,2.05
173,80174928c062f002e06091f4121e4cc0,26.0,0.0,4.05,3.65,4.6,2.85,1.2
174,5532642937eb3497a43e15dbb23a9d2d,21.0,0.0,3.95,3.4,1.4,3.3,4.05
175,dca6d566d55be6a8c1b6479b0e658ac3,33.0,0.0,4.35,3.05,2.7,3.1,4.15
176,6262f9ea246e00408561aa9a73c49175,17.0,1.0,3.8,2.45,3.75,3.25,3.5
177,112ee60f89b6ad8bef65ada86690db73,17.0,1.0,4.0,3.0,4.05,3.7,2.95
178,702ae00de63dd617cc2ba17bc7156e74,17.0,1.0,4.35,2.8,3.4,3.6,2.75
179,3ec0056ead812635965a5ac7f998af92,19.0,0.0,4.6,4.2,3.0,3.2,1.65
180,792eba4c9769afb94ea8cf9c7f3d1c12,23.0,0.0,4.35,3.7,3.05,4.35,2.15
181,45c807e50897e7dbe8d3671ea25f5b05,21.0,1.0,3.7,3.25,2.0,3.75,2.9
182,977be77c61f840dd4474bfa9539d5cc8,23.0,0.0,4.7,2.0,4.8,4.05,1.7
183,82e932005d8c94bb93bcb54fa19f421c,20.0,1.0,3.7,1.9,2.45,4.55,3.0
184,44567b076b145b79f36d87fcf43996f9,17.0,0.0,4.7,3.9,3.95,3.65,2.05
185,a3b0fbaa2e8cbb40e35f652f2128cf7c,17.0,0.0,3.75,3.35,4.65,2.35,2.3
186,71469de066cfab67bc4463ef1a74ba25,18.0,0.0,4.55,2.2,2.65,4.4,3.7
187,5b95e89b1977edb9d2c5019c2fdf0adf,19.0,1.0,4.21,3.15,3.2,4.05,2.45
188,23854dc4f58a865d4b6d2b4572d8b455,20.0,0.0,4.25,3.55,3.6,2.95,2.65
189,51204d8dc77b003b52ede048ce11de1a,25.0,0.0,4.78,4.4,3.75,4.3,2.4
190,d1e28ca367ade213dec3dd286d83fdbb,42.0,0.0,4.0,4.05,2.3,4.15,2.95
191,d77b48384a74d22c9f7239e51e09282e,21.0,0.0,4.25,2.1,1.15,3.25,4.05
192,ac99e20c5442b03f050d53cd3e70778b,42.0,0.0,3.15,3.65,1.75,3.95,2.3
193,45a4b81bd940ae4657287ca0d447e1d7,23.0,0.0,3.75,3.7,2.25,4.8,1.15
194,b19174282794df5e44f74d8a670a820f,19.0,0.0,4.5,3.8,3.58,4.2,3.45
195,85b41f3115df894b9dbc963785446845,19.0,1.0,4.4,3.2,2.15,3.55,4.5
196,56dcaccbee5d6e537d7bb2e46598fc45,29.0,1.0,4.4,3.8,2.2,3.7,2.7
197,e512da52741620b621b38d2843d20c32,31.0,0.0,4.6,2.8,3.7,2.9,2.0
198,ca9c48476566bba168e50f541a0aec7e,17.0,1.0,4.4,2.95,2.6,3.6,2.95
199,ac30ec02a63977a3a043a5a4a74973d8,18.0,1.0,3.8,4.25,2.3,3.7,3.55
200,4418e731d9fa43af52ec2600a0c4078e,24.0,1.0,4.45,1.8,1.8,2.45,3.25
201,9721b27e5d837892735141606aa57b2a,27.0,0.0,4.85,3.6,3.6,3.25,1.75
202,dec8d6886e43af026f115492e5be7c08,108.0,1.0,2.9,3.95,2.1,3.5,1.3
203,dbcef4b3cf47ca1e473f71e05347de19,26.0,1.0,4.05,3.6,2.25,3.35,3.8
204,ad95bbea35f8145653651348bbde9f35,32.0,0.0,4.15,3.95,2.2,3.3,3.5
205,6b159a878cea9bfe68eb96d0301fe9a0,17.0,0.0,3.7,2.55,2.9,4.05,2.3
206,c6a9a43058c8cc8398ca6e97324c0fae,43.0,0.0,3.8,3.1,2.75,3.85,3.65
207,100d9e816abfcdf14b136b067aee3c3c,33.0,1.0,4.15,3.2,3.7,4.15,2.55
208,e557fd2902b857797cb8cec471f201a5,31.0,0.0,4.3,3.4,2.95,3.0,1.5
209,e7b7f5af7d02ec06b3da2edf2053dfed,28.0,0.0,4.15,3.89,3.3,2.3,3.3
210,28038d4b1e4bcfc3b91960f095eccca4,25.0,1.0,4.9,3.9,4.6,4.1,1.6
211,9b3a3545e2245464b126ae08bdae9854,24.0,1.0,4.05,4.3,2.95,4.55,2.2
212,7b061056ba902bf5a3f0f123fb181ad3,30.0,1.0,4.05,3.7,3.7,3.3,2.25
213,04ee3dda14985c8d740b06c74949c475,27.0,0.0,3.0,3.5,1.75,4.25,3.5
214,d2ee2871aa02698e66fdc72b2218cdd8,30.0,1.0,4.65,4.0,2.75,2.5,3.25
215,2609216746274fd785c35801fb53e9d8,26.0,1.0,4.75,5.0,4.5,2.25,3.0
216,abf92a0684094b3413c63b31fddd2950,28.0,0.0,5.0,4.75,4.85,4.45,4.6
217,b98b995372448f015357638c8eb6add1,23.0,0.0,4.3,4.25,3.25,3.8,1.95
218,ac8bf16a381d07c01b11651994ecb746,25.0,1.0,4.42,3.1,2.7,3.4,3.65
219,3b6a414b280222a29d0a95c473cf6b61,32.0,1.0,4.0,3.95,2.05,4.55,1.55
220,0bf0a9d88ac5750ac9a58e34c31d6a73,31.0,1.0,4.6,4.11,3.4,2.55,2.4
221,14e1df193bf48802c4b2b405a4625105,27.0,0.0,5.0,2.0,4.0,4.0,2.75
222,2382eeba332f59ff29cf63a839a33f9a,25.0,0.0,3.75,3.1,2.4,2.95,3.75
223,e4a9de8d77c21c3f704fdb0055cdde43,29.0,1.0,3.9,4.0,2.95,3.9,3.15
224,810c70fdd8c82cb4e0afc1e8cc62759a,27.0,0.0,4.35,2.9,3.6,3.45,1.5
225,1e6d4e6334460fc2835d4c06b772c8e3,25.0,1.0,4.0,4.5,4.0,4.0,3.0
226,225c97c90103cc04cda7d10845f2733e,55.0,0.0,3.3,4.35,2.7,3.8,1.45
227,9b73d5a07c079cce614932e39e2f1852,27.0,0.0,4.35,3.45,2.65,3.35,2.8
228,3a2abd155d817486697a950b2cf8fc3b,27.0,1.0,3.65,3.6,4.1,2.05,3.75
229,4e5bc97d95f3aca05d420bfd4e3a2639,30.0,0.0,3.85,2.1,4.65,3.7,2.2
230,900d7f9f73341397d14ce4dc7980d31c,42.0,1.0,4.45,4.5,4.68,3.8,1.75
231,325e62f4e7e4f64a03fcf831a8d80bf1,26.0,0.0,4.7,3.55,4.35,4.75,1.7
232,5880081cd3de1619cd431a75d9052dfc,24.0,0.0,4.1,3.9,2.9,3.05,2.2
233,6ed78ce1c468e8e58fd903c5ae6de2bf,28.0,1.0,4.55,4.5,4.47,4.2,1.35
234,4cac659f923d6f3b4605f38477a04458,25.0,0.0,4.35,3.45,2.8,3.65,3.15
235,785d03537a119e9decd7de253c74c306,25.0,0.0,3.4,4.45,3.65,2.75,1.63
236,22d1f7b24168528163c515b1c96a879c,26.0,1.0,3.5,3.88,3.13,4.38,1.56
237,2badb47503a98766c89e266d1130969a,27.0,1.0,4.6,4.65,3.55,3.65,2.3
238,f80644859abfbc92e9a92072c2dc50fa,25.0,0.0,4.8,4.15,2.1,3.9,3.0
239,a235dff64a772640bc87024502d0d1b1,26.0,1.0,4.15,4.05,2.7,3.25,3.95
240,47bbde2b5e55c031729f4c72edc7a54c,24.0,1.0,4.3,3.45,3.65,3.65,3.55
241,9f320ade181aa12bf10361871afa8d90,27.0,0.0,2.85,3.75,1.8,2.45,3.0
242,c8eaf9f88ebb023b89de8e6f0875844d,24.0,0.0,4.4,2.6,4.3,3.0,1.45
243,bc96c1551c42ba37deb8fd69cca83d09,27.0,0.0,3.25,3.5,2.15,3.0,3.7
244,21c8e5af15aba1f4b7fda428c305ee59,25.0,0.0,3.6,3.4,3.9,3.75,1.7
245,b2be41464b53ffc6deae9536ddfd3aee,26.0,1.0,5.0,3.25,4.2,3.95,2.6
246,527ed53d2ba3a3bc417b8402d5b2f556,29.0,0.0,4.15,3.1,3.35,2.85,2.75
247,36e45d2a924d5f348be4619e786ca644,26.0,0.0,4.9,3.05,3.75,3.8,1.95
248,740aa055e9dccaee874ab7ec7e499d8e,28.0,1.0,3.6,4.05,1.7,1.95,4.7
249,2814eb4154b60ccfb362ecde7512ce71,25.0,1.0,3.8,3.6,2.95,4.15,2.5
250,73f96351ccf587dfc0daa84376ccfb27,26.0,1.0,4.45,4.65,4.15,4.75,1.2
251,e1ba74b99ee07f3aa7b1827f95136528,33.0,1.0,4.7,2.45,3.35,3.75,3.35
252,4a774ca406977b32f9a15e28cdd19110,25.0,0.0,4.8,2.55,2.35,3.7,3.15
253,8d6fce7de4c2c8e3f41fb34f8fd3b3f5,42.0,0.0,4.1,4.75,4.7,4.3,1.5
254,269e9ef71507e328e5e53d3f09db18c3,24.0,1.0,4.0,3.25,2.0,2.5,3.75
255,3c16c9780376ad278595beebdd688238,30.0,1.0,3.6,2.5,3.6,4.35,2.05
256,0cec8ce9f59542bfd536667b2541fec1,28.0,1.0,2.75,4.0,2.5,3.25,3.75
257,36e0c9ea043d949b92c90ddb6c35083e,42.0,1.0,3.7,2.85,3.4,2.68,3.65
258,229a0839a9d8f417dec7229234a893f8,28.0,0.0,3.8,4.15,3.85,4.35,1.85
259,f1a9f7a986bad1eafd8b0715d6224a18,26.0,0.0,4.35,2.95,4.1,3.3,1.7
260,097e091e8c64b10dfadd726100480995,27.0,1.0,3.4,3.7,2.25,3.5,2.45
261,becf9edf6528246169046d123493cab9,27.0,0.0,3.85,4.7,4.35,3.15,3.55
262,4db8699a9684c201adf67d28ec0a0662,28.0,1.0,3.55,4.2,3.3,3.6,3.35
263,041b5bf91bc95637f10a05ad80ac89ca,27.0,1.0,3.0,4.25,3.0,4.0,3.5
264,920c8a57e8b510ff7c6cd5413f1ce016,24.0,1.0,4.55,4.05,4.25,3.7,2.45
265,15c3bf48ba3d8bdd362a1b4ae3435899,27.0,1.0,4.75,4.0,3.0,3.25,2.75
266,86b688c6a736507d9eb27cb08e15c91d,31.0,1.0,4.4,4.0,3.55,4.65,2.1
