userId,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
740aa055e9dccaee874ab7ec7e499d8e,45,22.5,26.67,84.44,0,62.22,22.22,13.33,13.33,0,0,0,0,8.89,0,15.56,8.89,4.44,4.44,4.44,11.11,11.11,11.11,4.44,4.44,0,0,4.44,0,0,0,0,0,0,0,0,0,15.56,2.22,2.22,0,2.22,2.22,0,4.44,2.22,0,0,0,0,0,0,0,0,0,17.78,2.22,4.44,11.11,2.22,0,2.22,0,2.22,0,0,0,0,0,6.67,6.67,0,0,0,0,4.44,0,6.67,0,4.44,26.67
6773ab780fbccf3500386dcadfb0d4fe,188,94,14.89,87.23,0,57.45,16.49,11.7,7.45,0,2.13,1.6,0.53,4.79,4.26,14.36,8.51,4.26,9.57,0,3.19,17.02,5.85,1.6,2.66,0.53,0.53,7.98,0,0,1.06,4.79,3.19,1.6,0,1.06,0.53,14.89,3.72,1.06,0.53,2.13,0.53,1.06,4.79,2.13,4.26,0.53,2.66,1.06,1.06,0,0,0,1.06,21.28,3.72,9.04,9.04,0.53,0,2.13,0.53,0.53,3.72,1.06,0,0,0.53,3.72,5.85,0,0,0,16.49,0,0,1.6,0.53,1.06,29.79
353022f5d05661c517f5829c96909b8a,175,35,20,78.29,0,46.86,16,12.57,9.71,0,2.29,0.57,0,3.43,5.14,15.43,8,3.43,9.71,0.57,1.71,12,4.57,3.43,0,0.57,1.14,6.86,0.57,0,1.71,2.86,2.29,0.57,0,0.57,0,12,0.57,1.71,2.29,1.14,0,0,4,2.86,2.29,0.57,0.57,0.57,5.71,1.71,0.57,0.57,3.43,12.57,2.29,6.29,4.57,0.57,1.14,1.71,1.71,2.29,0,0,0.57,0.57,0,31.43,6.86,0.57,0.57,0.57,6.29,2.29,0,2.86,0.29,0,50.86
433849e303e2075cc7a31fcb7572ab2b,173,13.31,15.03,90.17,0,56.65,18.5,12.72,8.09,0,1.16,2.89,0.58,5.78,1.73,21.39,13.29,4.62,13.87,1.73,4.05,15.61,3.47,2.31,1.73,1.16,0,13.87,2.31,0,0.58,4.62,2.31,2.31,0.58,0,1.16,12.72,2.89,1.73,0.58,1.73,0.58,1.16,4.05,1.16,4.05,1.16,1.73,1.16,0.58,0,0,0.58,0,17.34,2.31,10.4,4.05,2.31,3.47,1.16,0.58,0.58,0,0,0,0,0,37.57,10.4,0.58,0,4.05,31.21,0.58,0,3.47,0.29,1.16,89.6
640502dea6e1d1449ab0ddc6f5cb0319,161,32.2,8.7,91.3,0.62,57.14,18.63,14.29,12.42,1.24,0.62,0,0,4.35,4.97,14.91,9.32,3.73,9.94,1.24,5.59,11.8,4.35,3.11,2.48,4.35,0,6.21,0,0,0,4.97,1.86,3.11,0,0,1.86,13.66,1.86,0,0,3.11,1.86,0.62,2.48,3.73,6.21,2.48,1.86,1.86,0.62,0.62,0,0,0,21.74,1.86,8.7,11.18,1.24,3.73,0,0.62,0,0,0,0,0,0,2.48,14.29,3.73,0,1.24,3.73,0,0.62,5.59,1.86,1.24,36.65
847511c1b5834ef40a52df8dc2728761,179,19.89,22.35,83.24,1.12,52.51,11.73,6.7,1.68,2.23,1.68,0,1.12,5.03,6.7,10.06,6.15,3.91,5.03,1.12,3.91,17.32,7.26,1.12,1.12,0,0,7.26,0,1.12,0,3.35,2.23,1.12,0,0,1.12,15.08,2.79,2.23,0,1.12,0.56,0.56,6.15,1.12,5.03,3.35,0.56,0.56,0.56,0,0,0,0.56,20.67,4.47,10.61,5.59,2.79,2.23,1.68,2.23,0.56,0,0,0,1.12,0,5.03,7.82,0.56,0,0.56,0,0,0,1.12,0.56,1.12,17.32
4554492b433685e40fdd0fa074cb326c,112,22.4,25.89,52.68,0,31.25,11.61,7.14,5.36,0.89,0.89,0,0,4.46,4.46,6.25,2.68,1.79,3.57,0.89,3.57,4.46,2.68,2.68,0.89,0.89,0,3.57,0,0,0,5.36,3.57,1.79,0,0,0,8.93,0,2.68,1.79,0,2.68,0,0,0,2.68,0.89,0,0.89,0.89,0.89,0,0,0,6.25,0.89,3.57,1.79,0.89,0,0,0,0,0.89,0,0,0,0,25,25,6.25,0,15.18,4.46,0,0.89,2.68,2.68,50,134.82
a323427e0712816a342e47f64717d8c5,186,26.57,9.68,84.41,1.08,51.08,27.42,26.34,12.37,1.61,11.83,0.54,0,1.08,2.69,18.28,8.06,2.15,13.44,1.08,3.23,8.6,3.23,1.61,1.08,1.08,0.54,17.2,0,0.54,0,18.28,11.29,6.99,0.54,2.15,2.15,11.83,1.61,1.08,2.15,1.61,1.08,0.54,3.76,2.15,0.54,0.54,0,0,5.38,0.54,3.23,1.61,0,9.14,1.61,3.23,4.3,0.54,0,0,0,0,0,0,3.76,0,0,5.38,5.91,3.23,0,2.15,5.38,1.61,0.54,3.23,9.95,11.29,58.6
a8037130ea2dcd0aa91d3e319c54758f,149,37.25,29.53,83.22,0,48.99,16.11,9.4,6.04,0,2.01,0.67,0.67,6.71,8.05,22.15,14.09,6.71,12.08,2.01,4.03,7.38,3.36,4.03,0.67,0,0,7.38,0,0,1.34,6.04,4.03,2.01,0,0.67,0,13.42,1.34,2.01,0.67,2.01,0.67,1.34,2.01,4.03,2.68,0.67,0.67,0.67,4.03,2.01,1.34,0,0.67,18.12,2.68,4.7,10.74,1.34,2.01,1.34,0.67,0,0,0,0,0,0.67,37.58,16.78,1.34,0,4.7,22.82,1.34,0,8.72,0.67,0,93.96
ad50e3ceda2026ec97a8211308109566,171,19,25.73,87.13,0.58,48.54,9.94,8.19,7.02,0,0.58,0.58,0,1.75,4.68,15.2,9.36,2.34,11.7,0,7.6,12.28,7.6,1.75,1.17,1.17,0,6.43,0,0,0,6.43,4.68,1.75,0,0,0.58,10.53,1.75,1.17,1.17,0.58,0.58,0,2.92,2.34,3.51,0,2.34,1.17,3.51,0.58,1.75,1.17,0,16.37,1.75,3.51,11.11,4.09,2.92,4.68,4.68,0.58,2.34,0,0,0,0.58,12.28,11.11,1.75,2.34,0.58,1.75,1.17,0,2.92,0.58,0,35.09
b5a30b0a2f39e5bc705d46f9e584c6ce,58,19.33,12.07,86.21,0,58.62,15.52,10.34,3.45,0,6.9,0,0,5.17,6.9,22.41,13.79,0,20.69,1.72,0,10.34,5.17,3.45,3.45,1.72,0,15.52,0,0,0,8.62,8.62,0,0,0,0,13.79,1.72,1.72,1.72,3.45,1.72,0,0,6.9,3.45,3.45,0,0,3.45,0,0,3.45,0,10.34,1.72,5.17,1.72,0,1.72,1.72,0,0,0,0,0,0,0,20.69,8.62,0,0,0,12.07,0,0,1.72,0,1.72,44.83
b12dcdae2e6d2409a3bdbeaaf34ca672,172,14.33,20.35,76.16,0.58,47.09,11.05,3.49,1.16,0,0,2.33,0,7.56,6.98,12.21,6.4,2.33,7.56,1.16,4.65,12.79,2.91,1.16,1.74,2.33,3.49,2.91,0,0,0.58,9.88,5.23,4.65,0,3.49,0.58,12.21,0.58,0.58,2.91,2.33,1.74,0,2.33,2.91,2.33,0.58,0.58,1.16,2.91,2.33,0,0,0.58,14.53,2.33,5.23,6.98,0,2.91,2.91,1.74,0.58,1.16,0,0.58,0,0,10.47,9.3,2.91,0,0.58,8.14,1.74,0,2.33,1.16,0,37.79
b224aa9db776de8653279a1be1cd6a44,157,22.43,20.38,83.44,0.64,29.94,10.19,6.37,2.55,0,3.18,0.64,0,3.82,4.46,22.93,5.73,1.27,21.02,0.64,1.91,4.46,2.55,1.27,0.64,0.64,15.29,10.83,0,0.64,2.55,24.84,7.01,17.2,0,15.92,0.64,7.01,0.64,0,0.64,1.27,1.27,0.64,1.91,0.64,0,0,0,0,19.11,0.64,1.91,16.56,0,10.83,2.55,3.18,7.01,5.73,0.64,1.91,1.27,0.64,3.82,0.64,0.64,0.64,1.27,13.38,27.39,3.82,0.64,1.91,8.92,6.37,0.64,0,1.91,6.37,71.34
bfd70ee36193fc0659fc5b5faff05326,125,3.91,25.6,56,0,27.2,7.2,6.4,2.4,2.4,1.6,0,0,0.8,2.4,10.4,7.2,0,7.2,1.6,2.4,2.4,2.4,1.6,2.4,2.4,0,4,0,0,0,12,8,4,2.4,0,0,12,1.6,0.8,0.8,1.6,1.6,2.4,0.8,4,2.4,0.8,0,1.6,3.2,1.6,1.6,0,0,4.8,0,1.6,3.2,1.6,0.8,0,0,0.8,0.8,0,4,0.8,0,99.2,32.8,5.6,0,1.6,6.4,4.8,0.8,8,3.6,12,177.6
c43579464334666c30e6c1190189a9fa,205,22.78,10.24,91.22,0.98,54.15,9.76,6.34,5.85,0.49,0,0,0,3.41,7.32,11.22,6.34,0.98,8.29,0.98,4.39,20.49,3.9,0.49,3.41,1.46,0.49,2.44,0,0.49,1.46,3.41,1.95,1.46,0,0,0.49,11.71,0.49,0.98,1.95,1.46,0.49,0,5.37,1.46,1.95,0.98,0,0.49,4.39,0.49,0.98,0.49,2.93,25.85,5.37,12.68,10.24,2.93,2.44,5.85,0.98,0,0,0,0,0,0.49,8.29,6.83,0.49,0,0.49,0,0,0,2.93,0,0,19.02
cb7484cf0520e98781cb8820dbc21861,162,12.46,20.99,75.31,0.62,40.12,13.58,11.11,8.64,0,2.47,0,0,2.47,4.94,14.2,6.79,3.09,9.88,0.62,6.79,6.17,5.56,0.62,0.62,0,0,10.49,0,0.62,1.23,10.49,4.32,6.17,0.62,1.85,0,13.58,2.47,0,1.23,1.23,1.23,0.62,4.32,1.23,1.85,0.62,0.62,0.62,4.32,0,3.09,0.62,0.62,10.49,0.62,3.09,8.02,0.62,1.85,1.23,0.62,0,0,0,1.23,0,1.23,9.88,10.49,0.62,0,0.62,48.15,4.94,0,3.7,0.93,1.85,79.63
cf2b161a3703f8d021413fd6e6d428ad,135,9.64,24.44,69.63,0.74,48.15,19.26,12.59,10.37,0.74,1.48,0,0,6.67,4.44,16.3,10.37,2.22,10.37,2.22,1.48,10.37,2.96,3.7,1.48,0,2.22,2.96,0,0,0,5.19,1.48,3.7,0,2.96,0.74,14.81,0,2.96,2.22,1.48,2.96,0,3.7,0,0.74,0,0,0.74,2.22,0,0,1.48,0.74,13.33,1.48,5.19,5.93,0.74,0,2.22,0.74,0,0,0,0,0,0,13.33,16.3,2.96,0,5.19,6.67,0,0,4.44,0.37,5.19,54.81
d03404d0576592ab2baad4465be854c1,5,5,20,40,0,40,0,0,0,0,0,0,0,0,20,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d37709f4ad7bab840d48b5636a01eeda,155,8.61,23.87,42.58,0,21.94,7.1,5.16,1.94,0,2.58,0.65,0,1.94,1.94,5.81,3.23,0.65,4.52,0,1.94,6.45,3.87,0,0,0,0,10.97,0,0.65,3.87,5.16,5.16,0,0,0,0,4.52,0,0.65,0.65,0.65,0,1.29,1.29,0.65,2.58,1.94,0.65,0,1.29,0,0,0.65,0.65,3.87,0,3.23,0,1.94,1.29,1.29,0,0.65,0,0,1.94,0,0,18.06,11.61,6.45,0,5.16,9.03,5.81,0.65,1.94,0.32,29.03,87.74
ebb9d5427dfca2a8c39ed699aae2f529,156,15.6,24.36,30.13,0.64,12.82,3.21,2.56,1.28,0,1.28,0,0,0.64,2.56,5.13,1.92,0,4.49,0.64,1.28,1.92,1.92,0.64,0,0,0,4.49,1.28,1.92,0,6.41,4.49,1.92,0,1.28,0.64,3.21,0,0,0,0.64,0,0.64,1.92,0,4.49,3.21,0.64,0.64,0.64,0.64,0,0,0,1.92,0,1.28,0,2.56,0,1.28,0,0.64,0,0,2.56,0,0,10.9,13.46,8.97,0,1.92,4.49,4.49,0,0.64,6.09,9.62,65.38
f88ae1d575d8752de5c17256498b677f,175,17.5,19.43,38.86,1.14,23.43,8,5.14,2.86,2.29,0,0,0,2.86,3.43,5.14,2.86,0,5.14,0,1.71,4,2.86,1.71,0.57,0,0,4.57,0,1.14,0,3.43,3.43,0,0,0,0,7.43,0.57,1.14,0,0,2.29,1.14,2.29,0,0.57,0,0,0.57,2.29,0,0,2.29,0,9.71,0,2.29,7.43,1.14,2.29,0,0,0,0,0,0.57,1.71,0,13.71,13.71,0.57,0,2.29,1.14,1.14,0,0,3.43,7.43,46.86
fed90ca1dc3e583a6b52583f6cdf7afe,174,34.8,16.67,75.29,0.57,50,13.79,9.77,9.77,0,0,0,0,4.02,5.17,14.94,10.34,3.45,9.77,0.57,4.6,8.62,9.77,1.15,2.3,0,0.57,6.32,2.3,1.15,1.72,8.62,5.17,3.45,1.72,0.57,0,15.52,4.6,0.57,2.3,3.45,0.57,0,4.02,4.02,0,0,0,0,3.45,1.15,0,1.15,1.15,5.17,0,2.3,2.3,1.15,1.15,2.87,0.57,0.57,0.57,0,0,0,0,9.77,9.77,1.15,0,3.45,22.99,0.57,0,0.57,0.29,0,48.85
0db6248d0c6392acdefc8eefc81aac73,172,86,22.67,79.65,1.74,45.93,13.37,8.72,4.07,0.58,3.49,0,0.58,4.65,5.81,9.3,4.07,4.07,1.74,2.91,2.91,14.53,4.65,0,3.49,0.58,0.58,9.3,0,0,0.58,6.4,5.81,0.58,0,0.58,0,11.63,2.33,1.74,1.74,1.74,0,0.58,3.49,0.58,5.23,1.74,2.91,0.58,2.33,0.58,0,0.58,1.16,13.95,0.58,6.98,5.81,2.33,1.74,1.74,0.58,1.74,0,0.58,0.58,0,0,6.98,12.79,0,0.58,0.58,0.58,0,0,2.33,0,1.16,25
1bd102f6e1590f42db8e7cd12a85c877,178,8.09,17.98,86.52,0.56,52.25,12.36,10.11,4.49,0.56,0,4.49,0.56,2.25,4.49,16.85,10.67,3.37,10.11,1.12,7.87,7.87,9.55,1.69,0.56,1.12,0,8.99,0.56,0,0.56,7.3,4.49,2.81,0,0.56,1.12,15.17,1.12,0.56,1.69,2.81,0.56,0,6.18,4.49,2.25,2.25,0,0,1.69,0.56,0,0.56,0.56,17.98,3.93,3.37,11.8,0,1.69,1.69,1.69,0,1.12,0,0,0,1.12,25.28,7.87,0,0,0,3.93,0,0,1.12,0,0.56,38.76
1bddc4c9fa39cead30d07c6cd3a8106e,181,20.11,14.36,70.17,1.66,43.65,9.39,6.63,5.52,0,1.1,0,0,2.76,3.31,14.92,9.94,3.87,9.39,1.1,4.42,11.6,5.52,3.31,2.76,1.1,0.55,6.63,0.55,0,1.66,6.08,4.42,1.66,0,1.1,0,13.26,1.1,0,1.1,0.55,2.76,0,3.87,3.87,1.1,0,1.1,0,1.66,1.1,0.55,0,0,12.71,1.66,4.97,5.52,0,0,4.42,0.55,0,0.55,0,0.55,0,0,15.47,8.29,2.21,0,1.66,11.05,0.55,0,0.55,0.55,0.55,41.44
2c0b81b6c7a779f161ea05f901d37d57,161,9.47,19.88,85.71,0.62,56.52,14.91,8.7,5.59,0,1.86,1.24,0,6.21,1.86,11.18,7.45,2.48,8.07,0.62,9.32,11.8,11.18,3.73,1.24,0,0,6.21,0,0,0.62,9.94,5.59,3.73,0.62,1.86,0,22.98,4.97,0.62,1.86,3.73,1.24,1.86,3.73,9.32,4.97,1.86,0.62,2.48,2.48,1.86,0.62,0,0,13.04,0.62,4.97,8.07,0,0.62,0.62,0.62,0,0,0,1.24,2.48,0,59.01,12.42,0,0,0.62,0.62,4.97,0,1.86,0,28.57,107.45
02e875c2419b352f18d4fb609adbe902,185,185,18.92,82.16,2.16,44.86,7.57,2.7,2.16,0.54,0,0,0,4.86,4.32,12.97,7.57,4.32,6.49,1.08,5.41,11.35,3.78,2.16,5.41,1.62,0,3.78,0,0.54,1.08,8.11,7.03,1.08,0.54,0,0,9.19,0.54,0,1.62,2.7,3.24,0.54,0.54,1.62,1.62,1.08,0,0.54,1.62,0.54,0,0,1.08,21.62,1.62,7.03,12.97,1.08,0,2.7,0,1.08,0.54,1.08,1.08,0,0.54,0,8.65,5.95,0,0.54,0,1.08,0.54,1.08,1.89,2.7,24.32
2f0a793d2cb7757ea241b3b074a0a743,162,14.73,24.07,79.01,0,46.3,15.43,9.88,7.41,0,0,1.85,0.62,5.56,5.56,14.81,8.64,1.23,11.11,0.62,4.94,6.79,3.7,3.7,3.09,0,0,7.41,1.23,0.62,0.62,8.02,4.32,3.7,0,0.62,2.47,20.37,3.7,1.85,3.09,4.32,0.62,0.62,3.09,4.32,2.47,0,1.23,1.23,2.47,1.23,0.62,0,0.62,9.26,2.47,3.7,3.7,1.85,1.85,1.85,1.23,0,1.23,0,1.23,0,0,12.96,14.81,0,0,1.85,4.94,1.23,0,4.32,0,0,39.51
6cbfe80dce36fbd8792f3608b5fbd9c3,182,15.17,17.03,87.36,1.1,54.4,15.38,7.69,3.3,0,3.3,0,1.1,7.69,7.14,15.38,7.69,2.75,12.09,0,2.2,13.74,4.95,1.1,3.85,0.55,0,12.09,1.1,0,1.1,8.24,6.59,1.1,0,0,0,16.48,2.2,2.75,2.75,2.2,1.65,0.55,3.85,2.2,0.55,0.55,0,0,3.85,0.55,1.1,0.55,1.65,12.64,1.1,4.4,6.59,0.55,1.1,0.55,0,0,1.65,0,0.55,0,0,9.89,9.34,0,0,1.65,3.85,0.55,0,2.75,0,0.55,28.57
9b7b5fbf5d9fe8b9dc2fe1471de10735,152,7.24,28.29,76.97,0,45.39,11.84,7.89,2.63,0,5.26,0,0,3.95,5.92,15.13,6.58,3.29,11.18,0.66,3.29,10.53,1.97,2.63,3.95,1.32,0,11.18,0,0,1.32,8.55,6.58,1.97,0,0,1.97,14.47,3.95,0,0.66,1.97,3.29,0.66,1.97,2.63,3.95,0.66,1.32,1.97,4.61,1.97,1.32,1.32,0,13.82,0.66,3.95,10.53,0.66,2.63,1.97,0,0,0,0,0.66,0,1.32,40.13,9.21,3.95,0,0.66,13.16,0,0.66,3.29,1.32,0.66,74.34
37f8ce7a43da7bf6c5943aef2548c05e,176,44,22.16,83.52,0.57,52.27,9.09,2.27,0.57,0,0,1.7,0,6.82,5.68,14.77,11.36,1.7,7.95,1.7,5.68,17.61,5.11,0.57,2.27,0.57,1.14,3.98,0,0,0,6.82,5.68,1.14,0,0.57,0,14.2,1.7,1.7,2.84,3.41,0.57,0,3.41,3.41,3.41,1.7,0.57,1.14,3.41,2.84,0.57,0.57,0,18.18,3.41,5.68,10.8,1.14,1.7,0,1.14,0,0,0,0,0,0.57,18.75,10.8,0,0,1.14,1.14,0,0,2.27,0.57,0,35.23
42f93de0e60fba6618edd9c9ebfbc34f,167,33.4,22.75,82.63,0,54.49,10.18,5.99,2.99,1.8,0.6,0.6,0,4.19,7.78,15.57,11.38,4.19,7.19,1.8,4.19,14.37,6.59,3.59,1.8,0.6,0,8.38,0,0.6,1.2,6.59,2.99,3.59,0,1.8,1.8,15.57,1.2,1.8,3.59,1.2,1.2,1.2,4.19,2.99,1.2,0,1.2,0,2.99,0,1.8,0.6,0.6,13.77,1.2,6.59,5.99,2.4,1.2,0.6,0,0,0.6,0,0,0.6,0,4.79,8.98,1.2,0.6,0.6,1.2,1.8,0,4.19,0.3,2.99,26.35
47a27b5b3fecf1e5bc7f44df8e18cf87,167,167,22.75,74.25,0,45.51,13.17,11.98,5.99,1.8,2.4,0.6,1.2,1.2,5.39,14.37,8.98,2.4,9.58,1.2,3.59,9.58,3.59,2.4,1.8,0.6,0,6.59,0,0,0,2.99,1.8,1.2,0,1.2,0,15.57,0.6,0,2.99,0.6,0.6,1.2,4.79,4.19,2.4,1.8,0,0.6,2.99,1.8,0,0,1.2,14.97,4.19,7.19,3.59,2.4,0.6,1.8,1.2,0,0,1.8,0,0,0.6,11.38,13.17,0.6,0,0.6,5.39,1.2,0.6,4.79,0.3,7.19,45.51
